Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
314,184,296,92,168,210,120,134,72,44
328,98,1379,1061,2132,1771,2081,1065,416,368
3540,4499,4078,2155,3984,4914,7187,3543,2815,2051
737,3452,3220,1517,1520,2160,4276,2017,2203,1257
34,9,616,40,287,620,748,1299,646,139
815,1652,6069,1317,1534,4196,5402,2559,2190,1933
5247,1888,5115,11523,3669,6665,13675,8493,7636,2773
2333,1782,3011,2261,3318,2584,3938,2208,1718,1382
1,0,0,3,2,0,2,1,0,0
736,611,1762,763,1248,1117,1908,804,722,572
119,23,115,51,205,336,1598,643,694,65
609,822,1549,450,1192,760,1424,539,509,304
43,88,203,40,46,112,168,74,60,43
713,1385,4909,314,365,3584,5243,1531,2528,1749
2559,1258,3738,1511,2071,4908,6544,2355,2215,989
2133,1518,7467,1872,6389,21446,14381,11300,8124,18469
13001,2225,74,9906,758,8,184,10,15,4
275,330,459,804,407,1002,2245,1341,1024,406
0,9352,131,420,200,7,332,8,32,1
690,176,473,202,715,648,429,815,205,100
185385,27859,643536,90402,370659,361813,306726,165199,147896,257173
767,105,917,337,715,1651,1435,1224,415,435
470,544,533,592,588,809,1244,736,505,304
1058,1169,3008,1130,1350,1871,2633,759,858,594
2729,732,1654,615,1821,3898,3409,1605,920,579
1,0,0,1,0,0,3,2,0,1
807,784,1169,1206,915,722,1133,422,378,291
391,418,754,987,273,334,861,254,344,231
1906,1158,1465,324,768,3140,3245,1925,1031,1217
920,134,1880,436,1451,1242,1403,807,526,704
782,512,1643,979,1530,921,2286,961,746,509
428,1893,2735,1876,1363,1452,4963,948,1253,481
11786,5713,37508,2639,7434,5829,13269,4313,6217,5392
0,0,1,3,0,2,12,3,3,2
4,98,54,15,5,3,27,2,3,2
991,1177,2043,1093,1653,1016,1844,878,671,660
264,2414,556,467,205,478,1749,661,922,316
749,3810,2220,325,1898,1987,3121,1102,1155,552
1887,3195,1962,1332,2201,2493,4107,1997,1814,1209
93,8845,192,31,107,140,196,152,95,32
8,4,57,5,158,976,1004,460,412,28
1768,122,1702,520,2505,17612,31503,14969,9920,3988
2331,1318,6131,3232,3006,3095,4782,2012,1879,1408
0,0,0,10,0,0,9,1,2,0
1327,1674,2067,4622,2338,692,227,133,629,132
