data,time,sex,age,wings,weigh,ELL,PNW,eggs
07.08.89,1,m,3,1,"178,4","9,8","4,4",0
07.08.89,2,m,3,1,"228,4","10,4","5,2",0
08.08.89,1,m,3,1,"185,2","10,0","4,6",0
08.08.89,3,m,3,1,"200,3","10,4","5,1",0
08.08.89,3,m,3,1,"205,1","10,4","5,0",0
08.08.89,3,f,3,1,"290,6","11,0","5,2",18
08.08.89,3,m,3,1,"203,5","10,2","5,1",0
09.08.89,1,m,3,1,"183,9","9,8","4,8",0
09.08.89,2,m,3,1,"169,5","8,7","4,6",0
09.08.89,2,m,4,1,"187,4","10,4","4,7",0
09.08.89,2,m,3,1,"287,9","10,6","5,3",0
09.08.89,2,m,3,1,"225,8","10,1","4,7",0
09.08.89,3,m,3,1,"167,3","9,9","4,7",0
09.08.89,3,m,3,1,"214,8","10,5","4,7",0
10.08.89,3,f,3,1,"353,7","11,7","5,3",10
10.08.89,3,m,3,1,"203,9","10,7","5,0",0
10.08.89,3,m,3,1,"202,2","9,9","4,9",0
10.08.89,3,f,3,1,"249,4","10,4","5,1",8
10.08.89,3,m,3,1,"191,2","10,0","4,9",0
10.08.89,3,m,3,1,"207,0","10,1","5,0",0
11.08.89,1,f,3,1,"388,3","11,5","5,4",16
11.08.89,3,m,3,1,"202,2","10,3","5,0",0
12.08.89,1,m,3,1,"199,4","9,6","4,6",0
12.08.89,2,f,3,1,"265,5","10,1","5,2",10
12.08.90,2,m,3,1,"179,3","9,6","4,7",0
12.08.90,2,m,3,1,"209,2","10,0","5,1",0
12.08.89,3,m,3,1,"202,0","10,2","5,1",0
12.08.89,3,m,3,1,"207,7","10,4","5,2",0
13.08.89,2,f,3,1,"251,3","10,3","5,1",7
13.08.89,3,f,3,1,"318,2","11,1","5,3",12
13.08.89,3,m,3,1,"188,9","9,8","4,9",0
13.08.89,3,m,3,1,"221,6","10,1","5,2",0
13.08.89,3,m,3,1,"235,1","10,3","4,9",0
13.08.89,3,m,3,1,"162,8","9,0","4,7",0
14.08.89,1,f,3,1,"381,8","11,1","5,4",22
14.08.89,2,f,3,1,"260,6","11,0","5,0",16
14.08.89,2,m,3,1,"220,3","10,7","4,9",0
14.08.89,2,m,3,1,"206,9","10,7","5,0",0
14.08.89,3,m,3,1,"165,2","9,5","4,6",0
15.08.89,2,m,3,1,"211,8","10,3","5,1",0
15.08.89,2,m,3,1,"229,0","11,1","5,2",0
15.08.89,3,f,3,1,"255,1","10,4","5,0",18
16.08.89,1,m,3,1,"186,8","10,0","4,6",0
16.08.89,1,m,3,1,"220,1","10,5","4,6",0
16.08.89,1,m,3,1,"183,6","9,7","4,5",0
16.08.89,3,m,3,1,"160,5","8,9","4,2",0
17.08.89,1,f,3,1,"340,7","11,0","5,1",6
17.08.89,1,f,3,1,"287,1","10,8","4,9",12
17.08.89,2,m,3,1,"209,6","10,1","4,7",0
17.08.89,3,m,3,1,"162,5","10,1","4,4",0
17.08.89,3,f,3,1,"278,0","11,0","4,8",11
18.08.89,1,m,3,1,"164,5","9,8","4,4",0
18.08.89,1,m,3,1,"232,5","10,9","4,8",0
18.08.89,1,f,3,1,"343,5","11,3","5,1",7
18.08.89,2,m,3,1,"177,8","9,9","4,4",0
18.08.89,2,m,3,1,"219,5","10,7","4,5",0
18.08.89,2,f,3,1,"257,5","10,8","4,9",2
18.08.89,3,f,3,1,"312,5","10,9","5,0",10
18.08.89,3,m,3,1,"228,0","10,7","4,7",0
18.08.89,3,f,3,1,"330,0","11,5","4,9",16
19.08.89,1,m,3,1,"191,0","10,5","4,9",0
19.08.89,1,f,3,1,"233,2","10,3","4,7",11
19.08.89,1,m,3,1,"220,0","11,2","4,8",0
20.08.89,1,f,3,1,"294,0","11,0","5,0",8
20.08.89,1,m,3,1,"164,0","10,5","4,3",0
20.08.89,3,m,3,1,"142,2","9,5","4,0",0
21.08.89,2,m,3,1,"202,6","10,7","4,6",0
21.08.89,2,m,3,1,"223,0","10,1","4,9",0
21.08.89,2,m,3,1,"199,0","10,4","4,4",0
21.08.89,2,f,3,1,"306,8","11,5","4,9",8
21.08.89,2,m,3,1,"177,2","9,8","4,2",0
